,period,aqi,natural_gas_value,coal_value
0,2023-12-26,1.4879297416810595,176333.75367108826,331.5197747862845
1,2023-12-27,1.620650952910207,174499.61442106921,357.53676486502206
2,2023-12-28,1.7826134921608066,176202.97441575662,378.5402950256176
3,2023-12-29,1.8308254908180015,179902.53847212438,409.97918203346615
4,2023-12-30,1.7734574776851992,178608.27009270302,459.85158570208
5,2023-12-31,1.76474313446267,174173.95569639566,474.08377004381526
6,2024-01-01,1.766764172767037,171735.83780561583,523.9078116026335
7,2024-01-02,1.7619186600148753,171010.4607471019,608.4404758776636
8,2024-01-03,1.7567650369742733,170486.7505516964,652.2256431335034
9,2024-01-04,1.768694800949275,169893.08262943677,656.5513608682129
10,2024-01-05,1.7845913306864896,169438.282313172,657.668003232381
11,2024-01-07,1.783959446955031,168828.45791142355,672.6168503898743
12,2024-01-08,1.7774335635488028,167849.22561072986,687.8220542167951
13,2024-01-09,1.773730254687682,166827.12471614772,704.7537740676567
14,2024-01-10,1.7724917164008767,166015.66935980893,731.0873848710323
15,2024-01-11,1.7711438405625772,165401.85766997223,760.2638851503657
16,2024-01-12,1.770500773035902,164862.57644767646,782.6775565263497
17,2024-01-13,1.771190404998625,164326.96876836463,798.9378281305463
18,2024-01-14,1.7711632028723516,163785.33793406875,814.5400650140466
19,2024-01-15,1.7698816043146743,163231.72092651183,830.3353255370179
20,2024-01-16,1.7682519214718495,162677.08862441403,845.347496627144
21,2024-01-17,1.766938240783859,162146.239147155,860.6538076164082
22,2024-01-18,1.765876767842617,161659.14134417297,877.1061675315648
23,2024-01-19,1.764936307698865,161213.45623477997,893.6159979890314
24,2024-01-20,1.7641660888090565,160792.47389703762,909.1159572373433
25,2024-01-21,1.7634529948382385,160385.7394176809,923.8353209863462
26,2024-01-22,1.7626607491311548,159991.58932685378,938.1799279243974
27,2024-01-24,1.761800532157134,159610.9808343734,952.0344640602722
28,2024-01-26,1.7609612287314387,159244.7775654779,965.3317783587577
29,2024-01-27,1.7601836900402836,158894.85571761674,978.2796102856008
30,2024-01-28,1.7594580435414338,158562.56931911496,990.9706498628173
31,2024-01-29,1.758778449755444,158246.58674275523,1003.2971515718818
32,2024-01-30,1.7581367069080642,157944.43123288162,1015.2112263533629
33,2024-01-31,1.7575166494023957,157654.6602793817,1026.771768908604
34,2024-02-01,1.7569101591181846,157376.85399602805,1037.997733366633
