,period,Actual,Predicted
130,2024-07-12,1.96,2.4016999999999964
131,2024-07-13,1.58,2.4489
132,2024-07-14,2.5,2.272099999999999
133,2024-07-15,2.83,2.4489
134,2024-07-16,2.79,2.3060999999999976
135,2024-07-17,2.54,2.414999999999999
136,2024-07-21,2.79,1.8937000000000008
137,2024-07-22,2.46,1.9882999999999997
138,2024-08-01,1.67,2.9943999999999975
139,2024-08-02,1.96,2.356500000000002
140,2024-08-03,2.04,2.2807999999999997
141,2024-08-04,1.96,2.2027999999999985
142,2024-08-05,2.04,2.2615999999999987
143,2024-08-06,1.67,2.153399999999999
144,2024-08-07,1.67,1.726000000000001
145,2024-08-08,1.88,1.7735000000000012
146,2024-08-11,1.75,1.2503
147,2024-08-12,1.62,1.7185000000000008
148,2024-08-13,1.38,1.5923000000000014
149,2024-08-14,2.42,1.878400000000001
150,2024-08-15,2.25,2.236700000000001
151,2024-08-16,2.46,2.244900000000002
152,2024-08-17,1.62,1.8500000000000014
153,2024-08-18,1.71,2.0316000000000005
154,2024-08-19,1.62,1.991800000000001
155,2024-08-20,1.25,1.2160000000000002
156,2024-08-21,1.33,1.697099999999999
157,2024-08-22,1.25,1.8396999999999992
158,2024-08-23,1.75,1.5795000000000003
159,2024-08-24,2.42,1.688199999999999
160,2024-08-25,2.96,1.1885000000000012
161,2024-08-26,2.75,2.3652000000000006
162,2024-08-27,3.29,1.8770999999999993
163,2024-08-28,2.88,2.5147999999999984
164,2024-08-30,1.71,1.2178999999999998
165,2024-08-31,1.5,1.197800000000001
166,2024-09-01,1.58,1.9170000000000005
167,2024-09-02,1.58,1.5184000000000006
168,2024-09-03,1.75,1.6151999999999995
169,2024-09-04,2.33,1.2430999999999992
170,2024-09-05,1.96,1.2668999999999992
171,2024-09-07,1.83,1.4523000000000001
172,2024-09-08,1.62,1.8118000000000012
173,2024-09-09,2.0,1.9575999999999991
174,2024-09-10,1.52,1.8153
175,2024-09-11,1.96,1.2456000000000014
176,2024-09-17,1.83,1.626699999999999
177,2024-09-18,1.71,2.1030999999999995
178,2024-09-19,1.83,2.021900000000001
