,period,Actual,Predicted
168,2024-09-03,1.75,0.62294817
169,2024-09-04,2.33,0.72222185
170,2024-09-05,1.96,0.72713137
171,2024-09-07,1.83,0.69156504
172,2024-09-08,1.62,0.49814364
173,2024-09-09,2.0,0.6450944
174,2024-09-10,1.52,0.7405076
175,2024-09-11,1.96,0.76961184
176,2024-09-17,1.83,0.77478075
177,2024-09-18,1.71,0.87982607
178,2024-09-19,1.83,0.8723264
179,2024-10-01,1.5,0.7355962
180,2024-10-02,1.67,0.7488332
181,2024-10-07,1.25,0.8703103
182,2024-10-08,1.38,0.78417826
183,2024-10-09,1.54,0.79676867
184,2024-10-10,1.04,0.80294466
185,2024-10-11,1.21,0.7378621
186,2024-10-12,1.75,0.6542878
187,2024-10-13,1.25,0.86432123
188,2024-10-14,1.62,0.89134455
189,2024-10-15,1.29,0.8437028
190,2024-10-16,1.58,0.8279767
191,2024-10-17,1.42,0.8966832
192,2024-10-18,1.71,0.826138
193,2024-10-19,2.12,0.75033236
194,2024-10-20,2.0,0.69971895
195,2024-10-21,2.21,0.76507044
196,2024-10-22,2.17,0.81090593
197,2024-10-23,3.21,0.80522966
198,2024-10-24,1.83,0.83198595
199,2024-10-25,1.29,0.8029828
200,2024-10-26,1.54,0.72040224
201,2024-10-27,1.83,0.70101595
202,2024-10-28,1.33,0.861218
203,2024-10-29,1.58,0.9515519
204,2024-10-30,1.83,0.84800196
205,2024-11-01,1.96,0.7391381
206,2024-11-02,1.5,0.7413316
